id,code,title,type,status,transaction,price,pricePerM2,currency,area,location,lat,lng,bedrooms,bathrooms,direction,frontage,legalStatus,furniture,isVerified,viewCount,contactPhone,projectCode,url,valuation_pricePerM2,valuation_confidence,valuation_trendText,createdAt,updatedAt
dd9a0dfb-87c8-4f8b-a5b1-f43285b3d43e,LST870787,Bán biệt thự song lập NA.SV1-1 diện tích 10x20m giá đầu tư 12 tỷ đồng tại phân khu đẳng cấp,Villa,AVAILABLE,SALE,13200000000,66000000,VND,200,"đường Ngô Quyền, Long Hưng, Đồng Nai",10.882098,106.858173,,,NorthEast,10,Contract,BASIC,true,10,0971132378,,https://sgsland.vn/listing/dd9a0dfb-87c8-4f8b-a5b1-f43285b3d43e,,,,2026-04-08T16:49:59.969Z,2026-04-08T16:49:59.969Z
d3de328e-47d1-46f3-a534-c0613e4e89aa,LST593106,Bán nhà phố căn góc NA.T11-3 diện tích 11x20m giá đầu tư 13 tỷ sở hữu hai mặt tiền đắc địa,Townhouse,AVAILABLE,SALE,14300000000,65000000,VND,220,"đường Ngô Quyền, Long Hưng, Đồng Nai",10.882098,106.858173,,,NorthWest,11,Contract,BASIC,true,3,0971132378,,https://sgsland.vn/listing/d3de328e-47d1-46f3-a534-c0613e4e89aa,,,,2026-04-08T16:46:29.611Z,2026-04-08T16:46:29.611Z
84340b42-c0a2-4474-967e-85fe9bb9ba2f,LST390992,Bán nhà phố NA.T11-3 diện tích 8x20m giá đầu tư 8.6 tỷ đồng tại phân khu trung tâm,Townhouse,AVAILABLE,SALE,9460000000,59125000,VND,160,"đường Ngô Quyền, Long Hưng, Đồng Nai",10.882098,106.858173,,,West,8,Contract,BASIC,true,4,0971132378,,https://sgsland.vn/listing/84340b42-c0a2-4474-967e-85fe9bb9ba2f,,,,2026-04-08T16:43:09.659Z,2026-04-08T16:43:09.659Z
5a386a93-1605-4a9b-be19-fab365b38bb8,LST280650,Bán nhà phố NA.T11-4 diện tích 8x20m giá đầu tư 8.6 tỷ sở hữu không gian sống lý tưởng,Townhouse,AVAILABLE,SALE,9460000000,59125000,VND,160,"đường Ngô Quyền, Long Hưng, Đồng Nai",10.882098,106.858173,,,SouthEast,8,Contract,BASIC,true,4,0971132378,,https://sgsland.vn/listing/5a386a93-1605-4a9b-be19-fab365b38bb8,,,,2026-04-08T16:39:48.400Z,2026-04-08T16:39:48.400Z
d9a8f94d-3491-46cd-8c75-b6f59bc5d836,LST005033,Bán nhà phố NA.T11-4 diện tích 8x20m giá đầu tư 8.35 tỷ đồng vị trí đắc địa,Townhouse,AVAILABLE,SALE,9180000000,57375000,VND,160,"đường Ngô Quyền, Long Hưng, Đồng Nai",10.882098,106.858173,,,NorthWest,8,Contract,BASIC,true,3,0971132378,,https://sgsland.vn/listing/d9a8f94d-3491-46cd-8c75-b6f59bc5d836,,,,2026-04-08T16:36:52.666Z,2026-04-08T16:36:52.666Z
6a5e785c-108f-4b26-a08f-0614b2b9297a,LST875939,Bán nhà phố NA.T11-6 diện tích 8x20m giá đầu tư 10.7 tỷ sở hữu mặt tiền rộng thông thoáng,Townhouse,AVAILABLE,SALE,11770000000,73562500,VND,160,"đường Ngô Quyền, Long Hưng, Đồng Nai",10.882098,106.858173,,,SouthWest,8,Contract,BASIC,true,3,0971132378,,https://sgsland.vn/listing/6a5e785c-108f-4b26-a08f-0614b2b9297a,,,,2026-04-08T16:33:22.279Z,2026-04-08T16:33:22.279Z
bd2ab765-973a-469f-a286-f17b0f6c367f,LST632654,Bán Shophouse căn góc NA.SH1-2 diện tích 6x20m giá đầu tư 11.4 tỷ đồng vị trí kinh doanh đắc địa,Commercial,AVAILABLE,SALE,12540000000,104500000,VND,120,"đường Ngô Quyền, Long Hưng, Đồng Nai",10.882098,106.858173,,,SouthEast,6,Contract,BASIC,true,4,0971132378,,https://sgsland.vn/listing/bd2ab765-973a-469f-a286-f17b0f6c367f,,,,2026-04-08T16:29:48.939Z,2026-04-08T16:29:48.939Z
cf89bd8b-e986-4862-ab8f-8c5cf4a0b6e6,LST281270,Bán Shophouse NA.SH1-2 diện tích 6x20m giá đầu tư chỉ 9 tỷ đồng sở hữu lợi thế kinh doanh,Commercial,AVAILABLE,SALE,9900000000,82500000,VND,120,"đường Ngô Quyền, Long Hưng, Đồng Nai",10.882098,106.858173,,,SouthEast,6,Contract,BASIC,true,4,0971132378,,https://sgsland.vn/listing/cf89bd8b-e986-4862-ab8f-8c5cf4a0b6e6,,,,2026-04-08T16:24:30.293Z,2026-04-08T16:27:10.250Z
89fcf5cb-ea4d-49c8-9aae-858b13c78b7e,LST132261,Bán Shophouse căn góc NA.SH1-3 diện tích 6x20m giá đầu tư 13.7 tỷ đồng sở hữu lợi thế 2 mặt tiền,Commercial,AVAILABLE,SALE,15070000000,125583333,VND,120,"đường Ngô Quyền, Long Hưng, Đồng Nai",10.882098,106.858173,,,South,6,Contract,BASIC,true,5,0971132378,,https://sgsland.vn/listing/89fcf5cb-ea4d-49c8-9aae-858b13c78b7e,,,,2026-04-08T16:21:00.982Z,2026-04-08T16:21:00.982Z
0b120232-9041-4073-9778-9abc173e795f,LST863790,Bán Shophouse căn góc NA.SH1 diện tích 8.4x20m giá đầu tư 16 tỷ đồng vị trí kinh doanh đắc địa,Commercial,AVAILABLE,SALE,17600000000,104761905,VND,168,"đường Ngô Quyền, Long Hưng, Đồng Nai",10.882098,106.858173,,,South,8.4,Contract,BASIC,true,3,0971132378,,https://sgsland.vn/listing/0b120232-9041-4073-9778-9abc173e795f,,,,2026-04-08T16:17:53.709Z,2026-04-08T16:17:53.709Z
